NAM 1 Hum BME280,NAM 1 Hum SHT30,NAM 2 Hum BME280,NAM 2 Hum SHT30,NAM 1 Temp BME280,NAM 1 Temp SHT30,NAM 2 Temp BME280,NAM 2 Temp SHT30,Luftdaten 1 PM10,Luftdaten 2 PM10,NAM 1 PM10,NAM 2 PM10,Luftdaten 1 PM2.5,Luftdaten 2 PM2.5,NAM 1 PM2.5,NAM 2 PM2.5,Reference 1 PM10,Reference 2 PM10,Reference 3 PM10,Reference 1 PM2.5,Reference 2 PM2.5,Reference 3 PM2.5
17.54,21.72,25.71,29.15,37.22,35.99,30.35,30.04,4.66,5.8,5.42,7.18,3.4,2.68,3.36,3.07,36.2,21,14.3,12.9,4.5,4.1
21.01,23.96,26.48,29.95,33.07,32.83,29.66,29.4,4.22,5.75,4.87,5.82,3.09,2.41,2.9,2.64,33.7,22.4,13.6,12.4,4.6,3.9
27.3,30.18,28.62,32.08,28.41,28.2,27.9,27.57,4.54,5.6,5.32,5.78,2.94,2.14,2.55,2.29,35.3,20.2,13.6,12.7,3.6,4.1
27.62,30.68,28.75,32.15,26.66,26.31,26.23,25.86,4.8,4.41,4.54,5.43,3.19,1.9,2.54,2.08,36.4,18.6,15.1,12.3,4,4.2
41.61,46.28,45.8,50.81,23.85,23.39,22.66,22.24,4.83,6.42,5.4,7.52,3.28,2.27,2.73,2.57,37.8,20.3,12.1,12.3,3.7,3.8
48.85,55.25,54.18,59.4,22.61,21.96,20.95,20.51,5.95,8.16,6.93,7.82,3.91,2.81,3.45,3.07,29.6,19.9,23.1,11.8,5.4,8.2
55.04,61,59.48,60.41,21.47,20.91,20.63,21.75,7.66,9.18,8.67,10.01,5.1,3.47,4.28,3.69,31,14,16.4,13.1,7,8.1
53.4,59.3,55.99,57.02,21.2,20.68,20.62,21.41,6.43,7.79,6.8,8.11,4.77,3.19,3.9,3.45,35.4,12.2,15.6,16.1,7.1,7.9
52.82,59,54.96,60.09,20.89,20.33,20.44,19.97,6.32,6.25,6.24,7.13,4.69,3.09,3.93,3.63,31.6,12.7,13.5,16.2,7.5,7.9
53.58,60.15,56.02,61.93,20.42,19.79,19.87,19.4,6.03,6.29,6.63,7.78,4.74,3.06,3.98,3.52,44.9,12.4,14.3,17,7.7,8.1
54.61,61.25,56.9,58.8,20,19.4,19.52,21.02,6.27,7.14,7.22,7.95,5.2,3.41,4.37,3.84,21.2,13.5,11.9,13.1,8.8,8.2
56.67,59.75,56.93,60.82,19.57,20.23,19.4,20.23,8.17,9.25,8.3,10.4,6.09,3.92,5.03,4.72,25.8,12.4,12.3,14.7,8.1,8.4
56.05,60,56.74,57.76,19.4,19.28,19.07,19.31,5.99,6.66,6.83,7.47,4.49,2.97,3.56,3.23,28.1,13.4,15.7,15.2,8.3,9
49.48,53.84,51.7,56.06,20.42,20.32,19.86,19.62,5.51,5.23,4.96,6.69,3.2,2.1,2.52,2.34,36.5,12.8,11.4,15.2,7.3,6.2
43.41,47.33,44.79,49.39,22.16,22.18,21.56,21.35,4.6,5.83,5.92,6.76,2.74,1.85,2.42,1.97,49.1,16.9,11.9,16.7,6.5,5.5
40.23,43.93,41.17,45.42,23.38,23.39,22.81,22.67,4.67,8.53,5.41,8.35,2.66,4.14,2.29,2.78,43.7,17.1,14,15.3,4.6,5.1
36.58,40.65,37.81,42.31,25.26,25.09,24.65,24.42,5.76,8.53,5.86,7.56,2.9,3.78,2.3,2.77,47.9,18,14.7,15.7,4.4,5.4
34.68,38.63,35.23,40,26.38,26.16,26.1,25.66,5.43,5.75,6.06,7.41,3.32,2.24,2.73,2.53,44.1,20.7,15.7,14.8,5.6,5.4
30.76,34.19,31.43,35.48,27.03,26.84,26.64,26.3,4.62,6.54,4.93,7.16,2.32,2.01,1.97,2.19,45.5,21.7,17.7,14.9,6.3,6
29.91,33.47,29.04,33.14,26.2,25.97,26.68,26.16,4.41,5.95,5.56,5.19,2.02,2.22,1.67,1.47,49,23,19.3,12.8,4.9,4.7
28.52,31.75,27.92,31.67,26.34,26.12,26.67,26.22,2.87,5.11,3.74,5.1,1.38,2.37,1.12,1.25,49.2,28.2,20.2,12.2,4.3,4.3
