NAM 1 Hum,NAM 2 Hum,NAM 1 Temp,NAM 2 Temp,Luftdaten Hum,Luftdaten Temp,Luftdaten PM10,Luftdaten PM2.5,Reference PM10,Reference PM2.5
,68.21,,15.51,92.27,14.13,6.87260869565217,4.37608695652173,18.2,13.7
,67.53,,15.23,92.09,13.74,5.53958333333333,3.94041666666666,16.4,13
,69.19,,14.85,93.17,13.2,6.9775,4.87041666666666,15.1,12.1
,71.16,,14.4,94.14,13.09,8.31125,6.02124999999999,15.2,12.4
,72.29,,14.02,95,12.8,8.9391304347826,6.52695652173913,16,13.1
,70.56,,14.44,93.9,13.13,7.71291666666666,5.33916666666666,16.9,13.6
,61.35,,15.49,87.93,14.45,7.70333333333333,3.54041666666666,17.2,13.6
,52.94,,17.33,69.92,17.84,5.10695652173913,2.18043478260869,20.3,13.6
,40.25,,19.07,40.71,24.46,4.41916666666666,1.50875,21.9,11.4
,41.69,,20.77,41.78,24.08,5.39999999999999,1.86666666666666,25.2,10.2
,45.04,,21.15,46.95,23.65,4.18521739130434,1.90130434782608,31.3,11.9
,46.13,,21.31,53.31,21.64,6.73,2.38916666666666,24.8,11.7
,48.59,,20.95,57.08,21.34,5.84869565217391,2.10043478260869,27.7,12.5
41.59,47.71,23.85,21.03,57.2,20.82,4.32125,1.72625,24.2,11.1
41.38,46.5,23.72,21.73,54.72,21.84,5.1195652173913,1.99086956521739,25.8,11
42.15,46.98,23.58,21.71,56.93,21.4,5.035,1.96125,25.5,11.3
45.4,50.86,22.97,21.14,63.96,20.83,4.09333333333333,2.24708333333333,25.2,11.4
54.36,59.42,21.08,19.79,74.67,19.8,4.54043478260869,2.6695652173913,17.9,10.9
55.22,61.39,21.23,19.66,76.04,19.63,7.28208333333333,3.13083333333333,16.2,11.7
57.62,63.23,20.71,19.53,77.1,19.2,11.455,4.24916666666666,35,14.6
61.95,64.78,19.64,19.01,79.45,18.81,8.13347826086956,4.14347826086956,42.8,17.1
64.32,66.53,19.56,18.69,85.51,18.37,9.49041666666666,5.29958333333333,26.2,14.1
67.54,69.78,19.3,18.35,90.45,17.95,9.63,6.71291666666666,24.7,16.4
71.09,74.26,18.84,17.68,93.5,17.48,12.685652173913,9.13695652173913,21.3,16.6
70.67,74.81,18.96,17.79,93.45,17.55,12.3237499999999,9.15208333333333,26.1,19.8
70.14,75.01,18.4,17.48,94.09,16.74,15.1179166666666,12.5845833333333,26.5,20.7
73.34,78.79,17.52,16.59,96.59,15.96,18.4,16.06,25.2,20.3
73.67,79.55,17.4,16.51,97.12,15.98,17.4529166666666,14.9791666666666,23,20
73.09,78.68,17.17,16.46,96.71,15.82,14.0541666666666,12.26375,22.7,20.2
73.43,78.44,17.3,16.41,96.38,15.72,12.031304347826,10.441304347826,21.3,18.5
73.93,79.76,17.48,16.41,97.33,15.62,12.6020833333333,10.9595833333333,18.9,16.5
73.78,80.28,17.66,16.49,97.4,15.86,12.5841666666666,10.94,17.5,15.4
72.66,78.59,17.64,16.64,96.39,16.03,12.1534782608695,10.3030434782608,18.2,16.1
68.06,74.01,18.47,17.38,91.55,17.83,8.52125,7.12625,19.9,17.1
53.43,57.54,21.03,19.78,55.31,24.69,6.14,3.19999999999999,20.4,17.4
40.87,41.91,21.98,21.52,41.48,24.81,5.4891304347826,2.17347826086956,25,16.2
37.93,38.94,22.07,21.58,46.32,21.28,6.52416666666666,1.83333333333333,25.5,14.7
35.78,36.11,22.46,22.13,45.08,21.21,5.28125,1.50791666666666,30.2,13.6
31.64,32.51,23.42,22.61,42.18,21.3,5.91043478260869,1.40739130434782,25.6,11.3
30.21,32.65,23.58,21.82,41.62,21.14,4.86208333333333,1.27291666666666,28.5,10.8
29.12,33.71,24.54,21.58,42.03,21.17,5.16291666666666,1.30375,22.9,10.2
25.93,34.29,26.74,21.28,43.28,20.62,4.60217391304347,1.19434782608695,24.6,10.5
30.43,35.64,23.24,20.7,44.4,20.35,5.185,1.35833333333333,20.3,10.4
36.13,38.71,20.69,19.72,48.19,19.36,6.23434782608695,1.44043478260869,22.8,10.9
39.94,41.85,19.4,18.88,52.6,18.1,5.21083333333333,1.62166666666666,25.6,11.8
43.36,45.01,18.67,18.28,56.72,17.49,6.00833333333333,1.78083333333333,21.3,11.7
45.02,47.64,18.32,17.8,59.99,17.03,5.35565217391304,1.56695652173913,,
,52.01,,17.02,69.53,16.13,4.35333333333333,1.38416666666666,,
,59.84,,15.92,83.77,14.69,6.98666666666666,2.0325,,
,67.47,,14.74,91.84,13.52,6.53217391304347,2.50434782608695,,
,71.34,,14.13,94.12,12.9,8.28916666666666,3.36208333333333,,
,72.93,,14.03,94.63,13.02,10.4104166666666,4.14291666666666,,
,73.3,,13.97,94.95,12.95,10.8134782608695,5.18217391304347,,
,72.66,,14.01,94.73,13.05,11.0033333333333,5.18625,,
,71.2,,14.44,93.93,13.44,13.8825,6.64916666666666,,
,68.9,,14.81,92.23,14.07,15.2943478260869,7.30260869565217,,
62.12,66.48,16.47,15.18,89.77,14.69,13.0366666666666,6.39416666666666,,
55.62,59.88,18.3,16.75,75.87,17.42,10.56,3.58608695652173,,
45.59,50.82,21.13,18.85,59.91,20.36,9.47958333333333,2.43541666666666,,
41.17,45.21,20.51,18.77,56.35,18.71,6.09125,1.56625,,
35.42,38.9,21.09,19.06,47.67,19.18,5.25608695652173,1.36869565217391,26.7,12.1
30.86,32,21.51,20.95,41.17,20.05,5.43291666666666,1.21083333333333,28.8,10.8
28.98,31.35,22.91,21.3,41.73,19.92,4.85565217391304,1.19739130434782,35.5,10.4
29.36,34.41,23.59,20.59,44.03,19.85,7.34791666666666,1.55124999999999,27.7,10
32.87,37.97,21.36,18.95,46.31,18.85,6.60875,1.41791666666666,31.4,11.5
35.06,38.6,19.61,18.1,47.73,17.79,4.99130434782608,1.31304347826086,29.1,11.8
36.26,39.44,19.39,17.98,48.9,17.58,6.19166666666666,1.46666666666666,22.5,10.4
37.46,40.95,19.4,17.93,51.13,17.33,5.32260869565217,1.41173913043478,25.2,11
39.62,41.65,18.17,17.59,52.83,16.8,8.02458333333333,1.77791666666666,21.1,10.8
42.98,43.9,17.01,16.91,56.69,15.77,7.31791666666666,1.70208333333333,29.9,12.2
46.41,47.05,15.98,16.03,61.56,14.8,4.54565217391304,1.49,25.9,11.8
50.64,51.6,14.98,14.97,69.73,13.65,4.95083333333333,1.47083333333333,25.1,10.9
55,56.97,14.27,14.11,77.51,12.87,3.81083333333333,1.54583333333333,19.4,9.3
57.69,60.21,14.24,13.78,82.58,12.74,5.23739130434782,1.84478260869565,15.3,9.1
60.21,62.98,13.68,13.38,87.96,11.98,5.27875,2.26541666666666,15.1,9.6
62.45,64.88,13.54,13.41,90.81,11.87,5.36521739130434,2.27260869565217,13.1,9.7
64.35,65.99,13.39,13.32,91.94,11.78,5.40041666666666,2.78125,11.7,9.7
63.22,65.58,13.94,13.41,91.56,11.98,6.55041666666666,3.29333333333333,12.9,10.7
59.86,62.9,15.66,14.63,88.97,13.28,8.12782608695652,3.30695652173913,14.8,11.8
53.76,57.87,18.24,16.85,81.82,15.71,7.38166666666666,2.605,25.3,14.7
49.7,53.75,19.63,18.09,61.43,20.4,7.55,2.64125,29.2,13.4
46.25,49.99,20.98,19.59,53.56,22.31,7.69260869565217,2.09565217391304,30.7,13.8
44.5,49.53,21.61,19.61,53.09,21.99,6.48041666666666,1.83999999999999,32.3,12.4
47.48,53.03,21.41,19.39,57.73,21,5.285,1.74583333333333,28.3,11.4
47.48,49.97,20.96,20.16,64.45,19.46,6.43608695652174,2.24782608695652,26.9,11.4
55.72,61,19.53,18.51,78.61,18.5,6.61625,3.04541666666666,28.9,12.4
42.5,44.95,22.66,21.58,58.66,20.66,4.47391304347826,1.70217391304347,21,13.7
52.53,54.44,19.25,18.51,70.48,18.17,6.445,2.13749999999999,25.4,11.6
70.48,74.8,15.77,14.83,93.35,14.7,6.05130434782608,2.56782608695652,28.6,12.5
68.82,74.52,16.55,15.32,92.7,15.23,5.18434782608695,2.76217391304347,13.5,10.9
72.42,77.09,16,15.22,94.48,14.72,4.52208333333333,2.9025,12.5,10.6
74.8,79.26,15.62,14.9,96.37,14.19,5.99347826086956,4.25173913043478,12.3,10.7
77.11,79.87,15.04,14.73,97.45,13.97,6.82416666666666,4.26541666666666,13,11.2
78.97,81.45,14.71,14.44,98.68,13.57,8.91173913043478,5.64652173913043,12.2,10.8
79.26,82.1,14.72,14.32,99.47,13.48,9.54291666666666,6.58208333333333,13.2,11.6
80.33,83.23,14.61,14.18,99.88,13.36,11.5833333333333,8.99291666666666,13.9,11.9
80.35,83.25,14.55,14.16,99.9,13.3,11.5552173913043,7.4695652173913,15.1,13.1
80.32,82.84,14.53,14.15,99.9,13.3,10.7120833333333,6.68333333333333,16.1,13.1
80.2,82,14.41,14.13,99.84,13.36,10.82875,5.36958333333333,17,13.4
79.95,81.45,14.28,14.07,99.63,13.27,11.4482608695652,4.84,17,13
79.74,81.25,14.16,13.92,99.62,13.15,12.7924999999999,5.01791666666666,19.1,14.2
79.28,80.67,14.1,13.85,99.19,13.1,11.9904166666666,4.795,19.8,14.7
77.39,79.72,14.67,14.09,98.54,13.57,13.6269565217391,6.82521739130434,20,14.9
73.33,76.06,15.39,14.68,95.87,14.64,12.4616666666666,5.835,24.9,18.3
66.83,71.52,17.07,16.04,89.46,16.79,9.83304347826086,3.87826086956521,27.4,20
61.98,65.58,17.38,16.6,80.47,18.18,8.7895652173913,3.14521739130434,25.2,18.4
58.86,62.41,18.26,17.19,80.43,17.29,7.17083333333333,3.33333333333333,30,16.9
54.72,58.01,18.84,18.01,66.47,20.38,6.36041666666666,2.66958333333333,25.3,15.6
52,56.55,19.19,17.75,69.12,18.36,5.03695652173913,2.44565217391304,29.2,13.5
54.14,56.22,18.68,18.04,70.93,18.15,6.17041666666666,2.69125,26.8,12.9
52.48,57.07,20.29,18.72,69.85,19.15,5.51260869565217,2.63565217391304,29.9,12.7
44.11,48.33,20.96,19.56,59.82,19.82,5.61541666666666,2.36875,23.4,11.9
43.37,46.73,20.95,19.65,57.17,20.2,6.19869565217391,2.44304347826086,27.8,11.9
40.55,45.84,22.01,19.62,57.07,19.98,6.10291666666666,2.61499999999999,27.4,11.9
37.65,43.82,21.84,19.63,55.55,19.44,8.2525,3.25375,27.9,12.6
